"purchase_id","Model","Price","Engine_Power","Transmission","Fuel_Type","Num_Additional_Options"
143,"Kalina",3100000,142,"MT","Petrol",0
144,"Riva",2300000,122,"MT","Petrol",3
145,"Niva Legend",1200000,92,"AT","Petrol",0
146,"Niva Travel",2350000,122,"MT","Petrol",2
147,"2115",1950000,107,"MT","Petrol",0
148,"Kalina",3e+06,117,"AT","Petrol",0
149,"2113",2300000,97,"MT","Diesel",0
150,"Niva Travel",1700000,112,"AT","Petrol",2
151,"2109",1450000,112,"MT","Petrol",2
152,"2113",2100000,102,"AT","Petrol",3
153,"Granta",3200000,87,"AT","Diesel",1
154,"Granta",2600000,132,"MT","Petrol",4
155,"2109",2650000,107,"MT","Petrol",1
156,"2111",3150000,102,"MT","Petrol",1
157,"Granta",3e+06,122,"MT","Petrol",2
158,"Niva Travel",950000,107,"MT","Petrol",5
159,"Largus",3150000,137,"AT","Petrol",2
160,"Niva Travel",1800000,97,"MT","Petrol",0
161,"Niva Travel",2550000,147,"MT","Petrol",0
162,"Priora",7e+05,102,"AT","Petrol",5
163,"Priora",1e+06,92,"MT","Petrol",0
164,"Kalina",3200000,92,"AT","Petrol",2
165,"Kalina",2150000,112,"AT","Petrol",3
166,"2115",9e+05,87,"MT","Petrol",2
167,"2109",2600000,102,"MT","Petrol",1
168,"2111",1750000,127,"MT","Diesel",1
169,"Niva Travel",1050000,142,"AT","Petrol",0
170,"2115",2100000,102,"MT","Petrol",3
171,"Niva Travel",2850000,127,"MT","Petrol",5
172,"2114",1700000,97,"MT","Petrol",3
173,"Oka",1900000,102,"MT","Petrol",0
174,"XRay",1900000,97,"AT","Petrol",3
175,"Vesta",1e+06,102,"AT","Petrol",2
176,"2107",2750000,132,"MT","Petrol",3
177,"2109",2200000,97,"MT","Petrol",0
178,"Oka",1150000,97,"AT","Diesel",2
179,"Niva Legend",2400000,147,"MT","Petrol",4
180,"2113",2e+06,97,"MT","Petrol",2
181,"Granta",2100000,107,"MT","Petrol",1
182,"2107",2500000,117,"MT","Petrol",3
183,"Largus",2750000,147,"MT","Petrol",1
184,"XRay",1500000,107,"AT","Petrol",2
185,"2115",2750000,87,"MT","Petrol",1
186,"Priora",2500000,92,"MT","Diesel",1
187,"Vesta",1750000,97,"MT","Petrol",4
188,"Samara",2450000,102,"MT","Petrol",2
189,"2114",3050000,137,"MT","Petrol",0
190,"Kalina",1400000,127,"MT","Petrol",0
191,"Vesta",2600000,102,"AT","Petrol",2
192,"Oka",1900000,142,"AT","Petrol",3
193,"Largus",1e+06,147,"MT","Petrol",0
194,"Samara",1100000,122,"AT","Petrol",1
195,"Niva Travel",2050000,102,"AT","Petrol",2
196,"Largus",2300000,107,"MT","Petrol",0
197,"Vesta",750000,137,"MT","Petrol",3
198,"Oka",2250000,147,"AT","Petrol",3
199,"2112",1400000,147,"MT","Petrol",1
200,"2113",2100000,142,"MT","Petrol",2
201,"21099",1350000,122,"MT","Petrol",1
202,"2107",2350000,122,"AT","Petrol",0
203,"Oka",3100000,122,"MT","Petrol",1
204,"2112",1650000,92,"MT","Diesel",3
205,"Niva Legend",2e+06,147,"MT","Petrol",1
206,"Largus",1250000,112,"MT","Petrol",2
207,"2109",1100000,117,"MT","Petrol",1
208,"Kalina",2650000,92,"MT","Petrol",2
209,"Oka",1450000,107,"MT","Petrol",2
210,"2110",1900000,132,"AT","Petrol",2
211,"Granta",3e+06,142,"MT","Diesel",1
212,"2111",2950000,102,"MT","Petrol",2
213,"Niva Legend",750000,97,"MT","Petrol",1
214,"Samara",1e+06,122,"MT","Petrol",1
215,"Granta",2450000,117,"AT","Petrol",1
216,"2114",3200000,132,"MT","Petrol",0
217,"Riva",2550000,112,"MT","Petrol",5
218,"Priora",1e+06,112,"MT","Petrol",1
219,"2107",2100000,92,"MT","Petrol",4
220,"Vesta",2850000,117,"MT","Petrol",3
221,"2110",1900000,97,"AT","Petrol",2
222,"Vesta",7e+05,127,"MT","Petrol",3
223,"Oka",2750000,107,"MT","Petrol",3
224,"Granta",1400000,137,"MT","Petrol",4
225,"2113",1100000,142,"AT","Petrol",1
226,"2113",1550000,127,"AT","Petrol",1
227,"Priora",1600000,102,"AT","Petrol",4
228,"2110",2800000,132,"MT","Diesel",0
229,"2115",2400000,97,"MT","Petrol",1
230,"Niva Legend",2950000,122,"MT","Petrol",4
231,"Riva",1900000,107,"MT","Petrol",0
232,"2112",2800000,117,"MT","Petrol",0
233,"Kalina",2700000,92,"MT","Petrol",1
234,"2114",2300000,117,"MT","Petrol",5
235,"Largus",2500000,127,"AT","Petrol",2
236,"2109",1250000,112,"MT","Petrol",3
237,"2112",950000,147,"MT","Petrol",1
238,"2112",1800000,142,"MT","Petrol",0
239,"XRay",2400000,97,"AT","Petrol",0
240,"2110",1750000,102,"AT","Petrol",1
241,"2107",2650000,102,"MT","Petrol",3
242,"Vesta",1850000,122,"AT","Petrol",1
243,"Niva Travel",1100000,117,"MT","Petrol",1
244,"Vesta",1e+06,107,"MT","Diesel",2
245,"Riva",1300000,107,"MT","Petrol",2
246,"Kalina",7e+05,92,"AT","Petrol",1
247,"Niva Travel",2550000,147,"MT","Petrol",3
248,"Priora",1900000,107,"MT","Petrol",4
249,"Granta",2550000,132,"MT","Diesel",1
250,"2111",1850000,142,"AT","Petrol",2
251,"Kalina",2950000,142,"MT","Petrol",4
252,"2114",2450000,92,"MT","Petrol",3
253,"Oka",1900000,122,"MT","Petrol",2
254,"Riva",2350000,97,"AT","Diesel",2
255,"2115",1600000,122,"MT","Petrol",0
256,"Largus",1e+06,107,"MT","Petrol",1
257,"2110",1300000,147,"MT","Petrol",1
258,"2113",3200000,127,"MT","Petrol",0
259,"2113",1350000,87,"MT","Petrol",0
260,"Priora",3050000,102,"MT","Diesel",1
261,"2112",1300000,127,"MT","Petrol",3
262,"2109",850000,112,"MT","Petrol",2
263,"2112",7e+05,112,"AT","Petrol",1
264,"Vesta",2950000,142,"MT","Diesel",1
265,"2110",9e+05,137,"AT","Diesel",1
266,"2112",2100000,127,"AT","Petrol",2
267,"Kalina",3050000,127,"AT","Petrol",2
268,"Vesta",1750000,142,"MT","Petrol",1
269,"2111",2900000,142,"MT","Diesel",2
270,"Vesta",1250000,127,"MT","Petrol",1
271,"XRay",2700000,147,"MT","Petrol",1
272,"Largus",1900000,147,"MT","Petrol",1
273,"2112",2300000,147,"MT","Petrol",1
274,"Vesta",2550000,97,"AT","Petrol",2
275,"Samara",2200000,92,"MT","Diesel",2
276,"21099",3150000,142,"AT","Petrol",1
277,"Riva",2800000,117,"MT","Petrol",1
278,"2107",2150000,97,"MT","Petrol",3
279,"Oka",1500000,97,"MT","Petrol",1
280,"Riva",2250000,147,"MT","Petrol",3
281,"21099",1100000,132,"MT","Petrol",1
282,"Riva",2950000,102,"AT","Petrol",0
283,"Kalina",1750000,122,"MT","Petrol",2
284,"Riva",2900000,92,"MT","Petrol",3
285,"2112",1450000,132,"MT","Petrol",0
286,"2114",1200000,97,"AT","Petrol",4
287,"2113",1850000,137,"AT","Petrol",0
288,"2110",1900000,132,"MT","Petrol",3
289,"2113",750000,92,"MT","Petrol",0
290,"Samara",1950000,132,"MT","Diesel",3
291,"2111",3200000,102,"MT","Petrol",2
292,"2114",2150000,87,"AT","Petrol",1
293,"Largus",2950000,142,"MT","Petrol",0
294,"Niva Legend",3100000,112,"MT","Petrol",1
295,"Samara",2700000,127,"MT","Petrol",1
296,"2107",1800000,102,"MT","Petrol",1
297,"2113",2400000,147,"AT","Petrol",0
298,"Samara",2100000,102,"MT","Petrol",2
299,"Priora",950000,87,"AT","Petrol",2
300,"Riva",2800000,137,"AT","Petrol",1
301,"2111",1150000,132,"MT","Petrol",0
302,"2114",1850000,112,"AT","Petrol",2
303,"Priora",2150000,137,"MT","Petrol",1
304,"Kalina",2250000,92,"MT","Petrol",1
305,"Largus",2650000,127,"AT","Diesel",5
306,"2113",1250000,97,"AT","Petrol",0
307,"Kalina",3150000,117,"MT","Petrol",1
308,"2107",750000,117,"MT","Diesel",2
309,"Niva Travel",7e+05,87,"MT","Petrol",4
310,"2115",1650000,97,"MT","Petrol",1
311,"Riva",1450000,132,"MT","Petrol",0
312,"Kalina",1200000,107,"MT","Petrol",2
313,"Granta",2550000,92,"MT","Petrol",4
314,"Largus",2050000,92,"AT","Petrol",2
315,"2113",3150000,137,"MT","Petrol",1
316,"2110",2e+06,87,"MT","Petrol",0
317,"XRay",1900000,102,"MT","Petrol",2
318,"2109",2300000,117,"MT","Petrol",1
319,"Niva Legend",950000,92,"AT","Petrol",4
320,"2110",1300000,122,"MT","Petrol",3
321,"2107",2950000,117,"MT","Petrol",0
322,"2107",1850000,142,"MT","Petrol",1
323,"Granta",2600000,132,"AT","Petrol",1
324,"Vesta",1950000,137,"MT","Diesel",3
325,"Riva",2850000,137,"MT","Petrol",2
326,"2114",1250000,112,"MT","Petrol",1
327,"Niva Travel",2950000,102,"AT","Diesel",1
328,"Riva",1e+06,117,"MT","Petrol",1
329,"Oka",2150000,97,"MT","Petrol",2
330,"Kalina",9e+05,147,"MT","Petrol",4
331,"2107",1600000,142,"MT","Petrol",0
332,"2113",2500000,142,"AT","Petrol",4
333,"Granta",3200000,107,"MT","Petrol",1
334,"Samara",2700000,137,"MT","Petrol",3
335,"Priora",2500000,147,"MT","Petrol",2
336,"Vesta",1550000,112,"MT","Petrol",1
337,"Kalina",3050000,122,"MT","Petrol",0
338,"Vesta",2250000,127,"AT","Petrol",1
339,"2114",3e+06,122,"AT","Petrol",3
340,"2110",1150000,97,"AT","Petrol",2
341,"Riva",1750000,97,"AT","Petrol",1
342,"21099",1e+06,132,"MT","Petrol",2
343,"Riva",2150000,137,"MT","Petrol",2
344,"Priora",1350000,97,"MT","Petrol",1
345,"2115",2750000,142,"AT","Petrol",1
346,"Samara",1100000,112,"AT","Petrol",2
347,"Riva",1350000,107,"MT","Petrol",3
348,"2115",1700000,132,"AT","Petrol",1
349,"2107",2500000,122,"MT","Petrol",0
350,"Niva Legend",2750000,117,"MT","Petrol",0
351,"Oka",1550000,137,"MT","Petrol",1
352,"2111",2800000,107,"MT","Petrol",2
353,"Samara",2900000,127,"MT","Diesel",1
354,"Granta",1700000,92,"MT","Petrol",0
355,"2107",3050000,112,"MT","Petrol",2
356,"Vesta",3e+06,102,"MT","Petrol",1
357,"Granta",2700000,137,"AT","Petrol",1
358,"Largus",1750000,112,"MT","Petrol",0
359,"2107",7e+05,137,"AT","Petrol",1
360,"2111",1400000,87,"MT","Petrol",0
361,"2115",1050000,92,"MT","Petrol",1
362,"Vesta",2050000,112,"AT","Petrol",2
363,"Samara",2350000,107,"AT","Diesel",3
364,"21099",1350000,97,"AT","Petrol",2
365,"Largus",1350000,142,"MT","Petrol",0
366,"2107",2700000,127,"MT","Petrol",0
367,"2110",1150000,97,"MT","Petrol",1
368,"Niva Travel",1950000,97,"MT","Petrol",0
369,"2115",850000,127,"MT","Petrol",0
370,"XRay",1200000,142,"AT","Petrol",1
371,"XRay",1550000,122,"MT","Petrol",0
372,"Niva Legend",2e+06,122,"MT","Petrol",0
373,"Largus",2400000,107,"MT","Petrol",0
374,"XRay",1450000,107,"AT","Petrol",0
375,"Samara",9e+05,122,"AT","Petrol",5
376,"2113",2950000,122,"AT","Diesel",1
377,"2107",2500000,132,"MT","Petrol",0
378,"2111",1400000,127,"MT","Petrol",1
379,"2109",1250000,132,"AT","Petrol",0
380,"2107",1950000,147,"MT","Petrol",3
381,"Riva",2350000,147,"MT","Petrol",0
382,"Granta",2250000,107,"MT","Petrol",1
383,"2113",2050000,87,"MT","Petrol",2
384,"2109",1e+06,102,"AT","Petrol",1
385,"2109",1800000,127,"MT","Petrol",1
386,"2113",1150000,102,"MT","Petrol",2
387,"21099",3e+06,92,"MT","Petrol",4
388,"Samara",2950000,117,"MT","Petrol",3
389,"Niva Legend",1900000,127,"MT","Petrol",1
390,"Vesta",1550000,107,"MT","Petrol",3
391,"Priora",2450000,117,"MT","Petrol",0
392,"Kalina",7e+05,92,"MT","Petrol",0
393,"Granta",1950000,147,"MT","Petrol",1
394,"2115",3e+06,97,"MT","Petrol",1
395,"Vesta",1100000,92,"MT","Petrol",0
396,"Priora",1850000,87,"MT","Petrol",1
397,"Vesta",2450000,127,"MT","Petrol",0
398,"Granta",2300000,132,"MT","Petrol",2
399,"2109",1100000,107,"MT","Petrol",0
400,"Vesta",1950000,132,"MT","Petrol",1
401,"Largus",2300000,107,"MT","Petrol",0
402,"Riva",2050000,112,"MT","Petrol",1
403,"Niva Legend",2700000,92,"MT","Petrol",0
404,"2115",1550000,102,"MT","Petrol",2
405,"Niva Legend",2200000,117,"MT","Petrol",0
406,"2111",8e+05,132,"MT","Petrol",3
407,"2109",9e+05,137,"MT","Petrol",3
408,"2112",2150000,117,"AT","Petrol",0
409,"2107",1500000,127,"MT","Petrol",3
410,"Priora",1900000,142,"MT","Petrol",2
411,"XRay",1800000,132,"AT","Petrol",0
412,"2110",3100000,107,"MT","Petrol",3
413,"2114",3050000,92,"AT","Petrol",1
414,"Oka",3100000,92,"MT","Petrol",2
415,"21099",1050000,102,"MT","Petrol",1
416,"2107",2300000,122,"AT","Petrol",2
417,"Granta",950000,92,"MT","Petrol",1
418,"Priora",3200000,147,"MT","Petrol",3
419,"Riva",1550000,117,"MT","Petrol",1
420,"2113",1250000,142,"AT","Petrol",2
421,"2111",2950000,147,"MT","Petrol",2
422,"Kalina",2700000,92,"MT","Petrol",2
423,"Oka",850000,142,"MT","Petrol",2
424,"2107",2100000,127,"MT","Petrol",1
425,"Granta",1750000,102,"MT","Diesel",4
426,"Niva Travel",2300000,92,"MT","Petrol",2
427,"Niva Legend",2150000,122,"AT","Petrol",0
428,"Samara",3e+06,137,"MT","Petrol",1
429,"Largus",1200000,117,"AT","Petrol",0
430,"2110",2250000,122,"AT","Petrol",0
431,"2110",2e+06,92,"MT","Diesel",1
432,"Priora",2e+06,117,"MT","Petrol",1
433,"Granta",1700000,142,"MT","Petrol",3
434,"2112",3e+06,137,"MT","Petrol",4
435,"2113",1e+06,117,"MT","Petrol",4
436,"2115",1600000,137,"MT","Diesel",1
437,"2110",2e+06,92,"MT","Petrol",1
438,"2115",3050000,87,"AT","Petrol",3
439,"2111",8e+05,142,"AT","Petrol",3
440,"2107",750000,142,"MT","Petrol",0
441,"Niva Travel",1500000,107,"MT","Petrol",5
442,"2109",2700000,87,"MT","Petrol",3
443,"Riva",3050000,97,"MT","Diesel",3
444,"Kalina",9e+05,142,"MT","Petrol",0
445,"Priora",1350000,127,"MT","Petrol",1
446,"2110",1900000,97,"MT","Petrol",1
447,"2109",1650000,122,"AT","Petrol",4
448,"2111",7e+05,137,"AT","Petrol",2
449,"Kalina",2450000,107,"MT","Petrol",2
450,"Largus",2950000,142,"AT","Petrol",0
451,"2107",2150000,107,"MT","Petrol",3
452,"Vesta",750000,142,"MT","Petrol",3
453,"21099",3200000,87,"MT","Petrol",2
454,"2112",2300000,147,"MT","Petrol",0
455,"2107",1900000,122,"MT","Petrol",3
456,"2113",2100000,142,"AT","Petrol",2
457,"2107",850000,137,"MT","Petrol",0
458,"Niva Travel",1750000,142,"AT","Petrol",1
459,"2107",1e+06,107,"MT","Petrol",1
460,"2109",1e+06,112,"MT","Petrol",2
461,"Niva Travel",3050000,92,"MT","Petrol",3
462,"2114",1200000,127,"MT","Petrol",1
463,"Kalina",2450000,142,"MT","Petrol",2
464,"2109",2550000,132,"AT","Petrol",3
465,"21099",3100000,127,"MT","Petrol",2
466,"Kalina",1500000,147,"AT","Petrol",0
467,"Samara",3050000,92,"AT","Petrol",1
468,"Oka",3e+06,147,"AT","Petrol",1
469,"2112",750000,102,"MT","Petrol",0
470,"XRay",2750000,147,"MT","Petrol",1
471,"Niva Travel",2250000,102,"AT","Petrol",2
472,"Oka",2400000,87,"AT","Petrol",2
473,"21099",850000,147,"MT","Petrol",2
474,"Samara",1500000,127,"MT","Petrol",0
475,"Priora",1800000,137,"MT","Petrol",1
476,"Priora",2800000,122,"MT","Petrol",4
477,"2113",1700000,97,"MT","Petrol",3
478,"Kalina",3150000,132,"AT","Diesel",2
479,"Priora",2900000,142,"MT","Petrol",0
480,"Vesta",1850000,132,"MT","Petrol",0
481,"Vesta",3150000,107,"MT","Petrol",0
482,"2115",2850000,112,"MT","Petrol",4
483,"2113",1900000,112,"MT","Petrol",3
484,"21099",2650000,102,"AT","Diesel",0
485,"Vesta",1350000,127,"MT","Petrol",1
486,"Riva",1700000,92,"MT","Petrol",3
487,"Priora",2050000,142,"AT","Petrol",0
488,"2115",1050000,112,"MT","Petrol",0
489,"Kalina",2250000,102,"AT","Petrol",2
490,"Samara",8e+05,117,"MT","Petrol",2
491,"Oka",1400000,92,"MT","Petrol",0
492,"21099",3050000,102,"MT","Petrol",0
493,"Kalina",1650000,112,"AT","Petrol",4
494,"Oka",2400000,137,"MT","Petrol",1
495,"2110",2e+06,117,"MT","Diesel",1
496,"2114",3100000,92,"MT","Petrol",2
497,"Riva",1200000,87,"AT","Petrol",1
498,"Niva Travel",1950000,127,"MT","Petrol",0
499,"Riva",2500000,127,"AT","Petrol",3
500,"2112",1950000,92,"AT","Petrol",3
501,"2107",3150000,142,"MT","Petrol",1
502,"2110",3100000,92,"MT","Petrol",0
503,"XRay",2100000,97,"AT","Petrol",2
504,"2114",1400000,122,"MT","Petrol",3
505,"2110",2900000,87,"AT","Petrol",0
506,"Niva Legend",1e+06,132,"AT","Diesel",1
507,"2111",1450000,142,"MT","Petrol",2
508,"2115",950000,127,"AT","Petrol",1
509,"Riva",2900000,117,"MT","Petrol",2
510,"2114",1300000,87,"AT","Petrol",2
511,"Niva Legend",2150000,147,"MT","Petrol",2
512,"Granta",3e+06,107,"AT","Diesel",1
513,"Niva Legend",1800000,112,"MT","Petrol",1
514,"Oka",2200000,112,"MT","Petrol",1
515,"XRay",1400000,87,"MT","Petrol",1
516,"2114",2300000,97,"MT","Petrol",0
517,"Priora",2450000,92,"MT","Petrol",1
518,"Samara",2400000,117,"MT","Petrol",2
519,"2111",3100000,102,"AT","Petrol",1
520,"2112",2750000,112,"MT","Petrol",0
521,"Largus",2850000,147,"MT","Petrol",0
522,"Oka",950000,147,"MT","Petrol",0
523,"Granta",1250000,107,"AT","Petrol",3
524,"2115",2150000,92,"MT","Diesel",2
525,"Kalina",2150000,87,"MT","Petrol",1
526,"2113",1850000,102,"MT","Petrol",2
527,"Largus",1550000,132,"MT","Petrol",1
528,"Kalina",9e+05,87,"MT","Petrol",0
529,"2115",1950000,112,"MT","Petrol",1
530,"2113",1300000,122,"MT","Petrol",2
531,"Kalina",1250000,127,"MT","Petrol",3
532,"2111",1950000,107,"MT","Petrol",0
533,"XRay",1050000,112,"MT","Petrol",2
534,"2111",1600000,102,"MT","Petrol",3
535,"2115",1150000,102,"AT","Petrol",4
536,"2109",2450000,117,"MT","Petrol",4
537,"Granta",2200000,142,"AT","Petrol",3
538,"2107",2200000,92,"MT","Petrol",2
539,"Niva Legend",2950000,122,"AT","Petrol",2
540,"Vesta",3150000,117,"MT","Petrol",2
541,"Kalina",3100000,147,"MT","Petrol",2
542,"Vesta",9e+05,127,"MT","Petrol",2
543,"2109",1950000,117,"MT","Petrol",2
544,"Kalina",2650000,122,"MT","Petrol",3
545,"XRay",2950000,102,"AT","Diesel",1
546,"Riva",8e+05,87,"AT","Petrol",1
547,"2111",1450000,137,"MT","Petrol",4
548,"XRay",1800000,92,"MT","Petrol",1
549,"Niva Travel",3200000,137,"MT","Petrol",0
550,"2110",1250000,147,"AT","Petrol",5
551,"2109",2850000,132,"AT","Petrol",5
552,"2113",2800000,112,"MT","Petrol",1
553,"2107",1350000,112,"MT","Petrol",3
554,"Samara",1750000,142,"AT","Petrol",1
555,"Largus",2900000,127,"MT","Petrol",0
556,"2109",1e+06,132,"MT","Petrol",2
557,"XRay",1250000,102,"MT","Petrol",2
558,"Niva Travel",1300000,127,"MT","Petrol",1
559,"Kalina",1200000,97,"MT","Petrol",2
560,"2113",2250000,87,"MT","Petrol",3
561,"Priora",1e+06,107,"MT","Petrol",3
562,"2114",1600000,147,"MT","Petrol",1
563,"Largus",2e+06,117,"AT","Petrol",3
564,"2113",2350000,132,"AT","Petrol",1
565,"2107",2e+06,107,"MT","Petrol",1
566,"2115",1e+06,117,"MT","Petrol",1
567,"2110",2400000,142,"MT","Petrol",1
568,"Vesta",2750000,112,"MT","Petrol",1
569,"Niva Travel",1900000,117,"MT","Petrol",0
570,"Niva Legend",2100000,102,"AT","Petrol",2
571,"Vesta",2950000,142,"MT","Petrol",3
572,"Vesta",2700000,102,"AT","Petrol",1
573,"2112",2250000,142,"MT","Petrol",3
574,"Samara",950000,147,"MT","Petrol",0
575,"Vesta",3e+06,87,"MT","Petrol",2
576,"Largus",1150000,92,"MT","Diesel",2
577,"21099",2800000,137,"AT","Petrol",1
578,"2111",2150000,122,"MT","Petrol",0
