purchase_id,id,Age,Sex,Income,Purchase_Date,Region,Model,Price,Engine_Power,Transmission,Fuel_Type,Num_Additional_Options
39,198956,61,M,429000.0,2023-01-01,пермский край,kalina,2850000.0,142,AT,Diesel,2
40,199253,47,M,424000.0,2023-08-01,нижегородская область,2109,700000.0,122,MT,Petrol,5
41,199130,43,M,240000.0,2023-01-01,кировская область,2110,1550000.0,132,MT,Petrol,3
42,200823,48,M,240000.0,2022-08-01,чувашская республика,2115,800000.0,117,AT,Petrol,0
43,197878,37,M,240000.0,2022-12-01,чувашская республика,2114,1000000.0,107,MT,Petrol,2
44,200635,52,M,336000.0,2021-10-01,чувашская республика,oka,2400000.0,87,MT,Diesel,2
45,201112,49,M,413000.0,2022-12-01,республика башкортостан,2107,2750000.0,112,AT,Diesel,0
46,199547,51,M,308000.0,2021-09-01,республика башкортостан,largus,1650000.0,87,MT,Petrol,1
47,201311,52,M,406000.0,2021-10-01,республика башкортостан,2114,2500000.0,107,AT,Diesel,0
48,199121,58,M,310000.0,2023-07-01,самарская область,riva,1950000.0,122,AT,Petrol,3
49,201294,52,M,366000.0,2023-08-01,республика мордовия,priora,1550000.0,147,AT,Petrol,2
50,197938,58,M,406000.0,2023-07-01,самарская область,xray,2650000.0,112,MT,Diesel,3
51,201623,50,M,296000.0,2021-07-01,нижегородская область,granta,1750000.0,142,MT,Petrol,1
52,199643,58,M,304000.0,2023-01-01,республика башкортостан,xray,1950000.0,142,AT,Petrol,2
53,199508,47,M,454000.0,2023-10-01,самарская область,riva,1850000.0,92,AT,Petrol,2
54,197929,59,M,496000.0,2022-08-01,самарская область,niva travel,1350000.0,112,AT,Petrol,0
55,198266,45,M,496000.0,2022-08-01,нижегородская область,2107,1950000.0,132,AT,Petrol,0
56,199262,59,M,288000.0,2022-09-01,республика татарстан,xray,1150000.0,102,AT,Petrol,2
57,197473,54,M,310000.0,2021-11-01,республика башкортостан,2107,1300000.0,122,MT,Diesel,2
58,202063,54,M,458000.0,2022-06-01,саратовская область,oka,2550000.0,132,AT,Petrol,2
59,200843,59,M,418000.0,2022-07-01,ульяновская область,2110,2750000.0,137,AT,Diesel,1
60,201210,42,F,240000.0,2022-01-01,кировская область,21099,1250000.0,97,MT,Petrol,1
61,200302,56,M,478000.0,2023-07-01,республика марий эл,kalina,2500000.0,117,MT,Petrol,1
62,198540,52,M,599000.0,2021-02-01,республика татарстан,2107,2400000.0,142,MT,Petrol,1
63,199596,56,M,435000.0,2023-06-01,саратовская область,niva travel,1100000.0,142,AT,Petrol,2
64,202020,55,M,402000.0,2021-10-01,саратовская область,2109,2500000.0,147,MT,Petrol,1
65,199786,51,M,276000.0,2022-08-01,самарская область,niva legend,1050000.0,87,MT,Petrol,3
66,198522,58,M,263000.0,2022-01-01,нижегородская область,xray,2800000.0,122,MT,Petrol,4
67,200693,55,F,240000.0,2022-07-01,оренбургская область,largus,700000.0,142,MT,Petrol,4
68,200371,40,M,245000.0,2023-05-01,самарская область,priora,1300000.0,87,MT,Petrol,2
69,199796,38,F,243000.0,2022-07-01,республика марий эл,priora,1600000.0,97,MT,Petrol,0
70,201892,46,M,257000.0,2023-07-01,республика мордовия,oka,2950000.0,132,MT,Diesel,2
71,199255,54,M,432000.0,2021-06-01,оренбургская область,samara,2050000.0,107,MT,Petrol,0
72,202240,43,M,291000.0,2023-06-01,нижегородская область,oka,3100000.0,147,MT,Petrol,0
73,201588,48,F,240000.0,2023-04-01,республика татарстан,largus,2650000.0,92,MT,Petrol,1
74,201205,37,M,367000.0,2021-02-01,пермский край,largus,1300000.0,117,AT,Petrol,4
75,199081,56,M,507000.0,2021-08-01,нижегородская область,2115,2700000.0,122,MT,Petrol,0
76,198189,57,M,691000.0,2023-01-01,нижегородская область,kalina,2500000.0,142,MT,Petrol,3
77,198534,49,M,324000.0,2023-05-01,пермский край,oka,2650000.0,147,MT,Petrol,3
78,197812,49,M,240000.0,2021-10-01,саратовская область,largus,3000000.0,137,MT,Petrol,2
79,198205,47,M,294000.0,2021-08-01,нижегородская область,xray,2800000.0,107,AT,Petrol,2
80,199988,33,F,532000.0,2023-08-01,республика марий эл,2110,3150000.0,122,MT,Petrol,0
81,199987,53,M,457000.0,2021-01-01,удмуртская республика,2112,3100000.0,102,MT,Petrol,2
82,201754,54,M,353000.0,2023-10-01,республика татарстан,2113,1900000.0,102,MT,Petrol,0
83,200817,54,M,812000.0,2023-07-01,нижегородская область,2113,2350000.0,107,MT,Petrol,2
84,199291,39,M,314000.0,2023-10-01,республика татарстан,granta,1250000.0,122,MT,Diesel,2
85,197927,52,M,240000.0,2021-02-01,удмуртская республика,samara,3050000.0,107,MT,Diesel,4
86,200097,45,M,313000.0,2023-12-01,нижегородская область,oka,2700000.0,132,AT,Petrol,0
87,201906,49,F,667000.0,2021-03-01,самарская область,niva legend,1500000.0,92,MT,Petrol,2
88,198760,48,M,1073000.0,2022-12-01,республика татарстан,2111,2650000.0,117,MT,Petrol,0
89,200412,48,M,780000.0,2021-02-01,республика мордовия,niva travel,3200000.0,122,MT,Petrol,3
90,201847,44,M,520000.0,2022-03-01,самарская область,granta,1350000.0,97,AT,Diesel,3
91,198445,56,F,1014000.0,2023-10-01,ульяновская область,2111,2950000.0,112,MT,Petrol,0
92,201529,57,M,240000.0,2022-02-01,республика башкортостан,kalina,2650000.0,102,MT,Petrol,4
93,201574,55,M,923000.0,2023-12-01,удмуртская республика,niva legend,3050000.0,127,MT,Petrol,3
94,197663,59,M,309000.0,2021-02-01,пермский край,riva,1200000.0,142,AT,Petrol,1
95,199253,42,M,629000.0,2021-06-01,нижегородская область,samara,2550000.0,137,MT,Petrol,4
96,199204,56,M,292000.0,2023-08-01,республика башкортостан,niva travel,1600000.0,122,MT,Petrol,2
97,201436,50,F,259000.0,2022-07-01,пермский край,oka,2400000.0,102,MT,Petrol,1
98,198138,49,M,240000.0,2023-06-01,республика татарстан,vesta,3100000.0,137,MT,Diesel,3
99,201207,44,M,632000.0,2021-10-01,республика башкортостан,riva,1650000.0,132,AT,Petrol,3
100,201401,50,M,331000.0,2023-09-01,самарская область,2115,2300000.0,112,MT,Petrol,2
101,199511,51,M,240000.0,2023-09-01,нижегородская область,riva,2650000.0,132,MT,Petrol,1
102,197803,40,M,438000.0,2021-06-01,республика башкортостан,vesta,1450000.0,127,AT,Petrol,1
103,198917,37,M,407000.0,2022-12-01,самарская область,kalina,1200000.0,122,MT,Petrol,1
104,198074,52,M,449000.0,2023-01-01,саратовская область,2109,1500000.0,117,MT,Petrol,0
105,201254,53,M,582000.0,2021-09-01,республика мордовия,kalina,750000.0,137,MT,Petrol,2
106,200445,57,M,490000.0,2023-03-01,республика башкортостан,2114,1650000.0,97,MT,Petrol,1
107,201927,54,M,336000.0,2022-09-01,республика башкортостан,oka,2750000.0,137,MT,Petrol,3
108,199691,44,M,240000.0,2023-12-01,самарская область,2114,2700000.0,107,MT,Petrol,0
109,199716,34,M,240000.0,2021-04-01,нижегородская область,priora,2050000.0,142,AT,Petrol,1
110,198925,32,M,259000.0,2021-05-01,саратовская область,niva legend,1650000.0,132,MT,Petrol,3
111,197711,61,M,433000.0,2022-03-01,кировская область,oka,1400000.0,127,AT,Petrol,0
112,200155,46,M,568000.0,2021-03-01,республика татарстан,2113,1650000.0,147,MT,Petrol,0
113,201791,58,M,666000.0,2021-09-01,республика башкортостан,xray,900000.0,147,AT,Petrol,3
114,197572,36,M,277000.0,2021-01-01,республика татарстан,samara,2600000.0,117,AT,Petrol,0
115,199232,55,M,240000.0,2021-07-01,республика марий эл,xray,2500000.0,122,MT,Petrol,0
116,202055,50,M,240000.0,2023-01-01,чувашская республика,2107,2450000.0,147,AT,Diesel,3
117,197993,49,M,384000.0,2021-12-01,нижегородская область,2112,1950000.0,127,MT,Petrol,1
118,197928,42,M,667000.0,2023-03-01,нижегородская область,2111,2400000.0,97,MT,Diesel,3
119,199202,49,F,309000.0,2022-05-01,пермский край,2115,2350000.0,107,AT,Petrol,0
120,198025,54,M,472000.0,2021-07-01,чувашская республика,priora,1800000.0,92,AT,Petrol,0
121,198154,53,M,293000.0,2022-02-01,пермский край,priora,1400000.0,147,MT,Petrol,0
122,198635,57,M,493000.0,2023-09-01,республика татарстан,2109,2600000.0,142,MT,Petrol,1
123,197827,61,M,367000.0,2021-05-01,ульяновская область,kalina,2650000.0,107,MT,Petrol,2
124,201836,58,M,631000.0,2022-09-01,республика башкортостан,samara,750000.0,142,AT,Petrol,3
125,198345,58,M,388000.0,2023-08-01,нижегородская область,priora,850000.0,112,MT,Petrol,2
126,198637,44,M,240000.0,2023-04-01,оренбургская область,vesta,2500000.0,122,MT,Petrol,1
127,197871,54,M,328000.0,2021-03-01,республика марий эл,2115,850000.0,122,AT,Diesel,2
128,201714,52,M,614000.0,2022-02-01,пермский край,2113,2850000.0,87,MT,Petrol,1
129,201785,48,M,240000.0,2022-07-01,республика башкортостан,2114,2350000.0,107,MT,Petrol,1
130,200593,50,M,240000.0,2021-09-01,пермский край,2114,2600000.0,102,AT,Petrol,1
131,198899,47,M,521000.0,2023-12-01,пензенская область,2111,1350000.0,107,MT,Petrol,1
132,201042,61,M,796000.0,2022-07-01,республика башкортостан,oka,1700000.0,92,AT,Petrol,5
133,201233,54,M,329000.0,2022-10-01,пермский край,2109,2250000.0,92,MT,Petrol,4
134,201031,61,M,901000.0,2023-01-01,пензенская область,2115,2650000.0,102,MT,Petrol,1
135,199971,45,M,330000.0,2023-08-01,кировская область,priora,850000.0,137,AT,Petrol,1
136,201794,50,M,647000.0,2023-08-01,пермский край,21099,2050000.0,87,MT,Petrol,4
137,198228,44,M,265000.0,2021-11-01,пермский край,oka,2400000.0,112,MT,Petrol,3
138,200416,57,M,240000.0,2022-10-01,пермский край,2112,2800000.0,117,MT,Petrol,4
139,199896,49,M,477000.0,2022-04-01,самарская область,2114,1100000.0,117,MT,Petrol,1
140,197817,53,M,523000.0,2022-09-01,республика татарстан,2111,3050000.0,92,AT,Petrol,1
141,197816,48,M,240000.0,2023-10-01,нижегородская область,niva travel,1850000.0,92,AT,Petrol,0
142,201656,55,M,340000.0,2023-01-01,республика башкортостан,niva legend,1300000.0,147,MT,Petrol,2
143,199977,43,M,736000.0,2023-01-01,оренбургская область,kalina,3100000.0,142,MT,Petrol,0
144,199118,56,M,716000.0,2021-02-01,республика татарстан,riva,2300000.0,122,MT,Petrol,3
145,201109,45,M,441000.0,2021-10-01,ульяновская область,niva legend,1200000.0,92,AT,Petrol,0
146,200808,46,M,281000.0,2021-11-01,нижегородская область,niva travel,2350000.0,122,MT,Petrol,2
147,198751,43,M,638000.0,2021-02-01,пермский край,2115,1950000.0,107,MT,Petrol,0
148,200530,52,M,264000.0,2021-06-01,саратовская область,kalina,3000000.0,117,AT,Petrol,0
149,200591,52,M,314000.0,2022-10-01,республика татарстан,2113,2300000.0,97,MT,Diesel,0
150,197667,37,M,418000.0,2021-05-01,нижегородская область,niva travel,1700000.0,112,AT,Petrol,2
151,198694,60,M,534000.0,2022-06-01,оренбургская область,2109,1450000.0,112,MT,Petrol,2
152,201732,42,M,240000.0,2021-12-01,ульяновская область,2113,2100000.0,102,AT,Petrol,3
153,200109,40,M,399000.0,2023-12-01,чувашская республика,granta,3200000.0,87,AT,Diesel,1
154,197488,44,M,318000.0,2023-08-01,самарская область,granta,2600000.0,132,MT,Petrol,4
155,198642,56,M,426000.0,2021-03-01,ульяновская область,2109,2650000.0,107,MT,Petrol,1
156,202306,47,M,938000.0,2021-07-01,саратовская область,2111,3150000.0,102,MT,Petrol,1
157,201619,53,M,672000.0,2023-08-01,саратовская область,granta,3000000.0,122,MT,Petrol,2
158,200420,47,M,325000.0,2021-11-01,оренбургская область,niva travel,950000.0,107,MT,Petrol,5
159,201488,59,M,265000.0,2022-07-01,нижегородская область,largus,3150000.0,137,AT,Petrol,2
160,198414,56,M,579000.0,2023-11-01,саратовская область,niva travel,1800000.0,97,MT,Petrol,0
161,201225,54,M,240000.0,2022-03-01,оренбургская область,niva travel,2550000.0,147,MT,Petrol,0
162,198468,54,M,578000.0,2022-11-01,пермский край,priora,700000.0,102,AT,Petrol,5
163,199414,48,M,988000.0,2021-09-01,нижегородская область,priora,1000000.0,92,MT,Petrol,0
164,200351,58,M,573000.0,2021-08-01,чувашская республика,kalina,3200000.0,92,AT,Petrol,2
165,199718,47,M,240000.0,2021-03-01,самарская область,kalina,2150000.0,112,AT,Petrol,3
166,202041,58,M,268000.0,2023-01-01,саратовская область,2115,900000.0,87,MT,Petrol,2
167,202048,45,F,784000.0,2022-06-01,республика башкортостан,2109,2600000.0,102,MT,Petrol,1
168,199408,47,F,533000.0,2022-04-01,нижегородская область,2111,1750000.0,127,MT,Diesel,1
169,198015,52,M,476000.0,2022-11-01,республика башкортостан,niva travel,1050000.0,142,AT,Petrol,0
170,199579,59,M,240000.0,2022-05-01,республика марий эл,2115,2100000.0,102,MT,Petrol,3
171,198458,54,M,314000.0,2022-08-01,нижегородская область,niva travel,2850000.0,127,MT,Petrol,5
172,200193,56,M,1224000.0,2021-10-01,чувашская республика,2114,1700000.0,97,MT,Petrol,3
173,201784,53,F,319000.0,2021-09-01,пензенская область,oka,1900000.0,102,MT,Petrol,0
174,201889,48,M,471000.0,2022-04-01,самарская область,xray,1900000.0,97,AT,Petrol,3
175,202322,52,M,656000.0,2023-09-01,пермский край,vesta,1000000.0,102,AT,Petrol,2
176,199575,44,F,591000.0,2023-08-01,саратовская область,2107,2750000.0,132,MT,Petrol,3
177,200873,46,F,742000.0,2022-04-01,республика татарстан,2109,2200000.0,97,MT,Petrol,0
178,199738,54,M,338000.0,2022-01-01,ульяновская область,oka,1150000.0,97,AT,Diesel,2
179,201615,58,M,462000.0,2023-12-01,пензенская область,niva legend,2400000.0,147,MT,Petrol,4
180,202167,52,M,593000.0,2022-06-01,самарская область,2113,2000000.0,97,MT,Petrol,2
181,201274,45,M,240000.0,2021-03-01,нижегородская область,granta,2100000.0,107,MT,Petrol,1
182,202146,50,M,540000.0,2022-01-01,чувашская республика,2107,2500000.0,117,MT,Petrol,3
183,202357,55,M,357000.0,2021-05-01,самарская область,largus,2750000.0,147,MT,Petrol,1
184,198574,51,M,240000.0,2023-08-01,удмуртская республика,xray,1500000.0,107,AT,Petrol,2
185,198362,44,M,467000.0,2023-03-01,нижегородская область,2115,2750000.0,87,MT,Petrol,1
186,200159,50,M,383000.0,2022-09-01,республика татарстан,priora,2500000.0,92,MT,Diesel,1
187,201408,53,M,503000.0,2021-10-01,самарская область,vesta,1750000.0,97,MT,Petrol,4
188,200079,53,M,240000.0,2022-02-01,республика башкортостан,samara,2450000.0,102,MT,Petrol,2
189,199790,47,M,522000.0,2022-03-01,республика татарстан,2114,3050000.0,137,MT,Petrol,0
190,198748,56,M,351000.0,2021-08-01,чувашская республика,kalina,1400000.0,127,MT,Petrol,0
191,198762,45,M,292000.0,2021-01-01,оренбургская область,vesta,2600000.0,102,AT,Petrol,2
192,201181,55,M,461000.0,2022-04-01,республика марий эл,oka,1900000.0,142,AT,Petrol,3
193,199669,34,M,359000.0,2022-04-01,кировская область,largus,1000000.0,147,MT,Petrol,0
194,201388,45,M,586000.0,2022-09-01,пензенская область,samara,1100000.0,122,AT,Petrol,1
195,197678,60,M,477000.0,2021-04-01,удмуртская республика,niva travel,2050000.0,102,AT,Petrol,2
196,198374,45,F,410000.0,2023-07-01,пермский край,largus,2300000.0,107,MT,Petrol,0
197,198322,49,M,468000.0,2021-11-01,ульяновская область,vesta,750000.0,137,MT,Petrol,3
198,198655,51,M,529000.0,2023-01-01,саратовская область,oka,2250000.0,147,AT,Petrol,3
199,200807,38,M,1020000.0,2021-08-01,самарская область,2112,1400000.0,147,MT,Petrol,1
200,201979,49,M,866000.0,2023-07-01,республика марий эл,2113,2100000.0,142,MT,Petrol,2
201,198631,50,M,418000.0,2021-11-01,удмуртская республика,21099,1350000.0,122,MT,Petrol,1
202,198687,58,M,325000.0,2021-01-01,республика мордовия,2107,2350000.0,122,AT,Petrol,0
203,201116,46,F,240000.0,2021-07-01,республика татарстан,oka,3100000.0,122,MT,Petrol,1
204,199248,54,F,284000.0,2023-09-01,саратовская область,2112,1650000.0,92,MT,Diesel,3
205,197899,48,M,392000.0,2022-08-01,чувашская республика,niva legend,2000000.0,147,MT,Petrol,1
206,198198,39,M,591000.0,2022-06-01,пермский край,largus,1250000.0,112,MT,Petrol,2
207,198711,54,M,461000.0,2022-07-01,чувашская республика,2109,1100000.0,117,MT,Petrol,1
208,199844,55,M,261000.0,2022-12-01,чувашская республика,kalina,2650000.0,92,MT,Petrol,2
209,200638,50,M,280000.0,2022-01-01,республика башкортостан,oka,1450000.0,107,MT,Petrol,2
210,200860,55,M,358000.0,2023-09-01,ульяновская область,2110,1900000.0,132,AT,Petrol,2
211,201325,57,M,240000.0,2022-10-01,пермский край,granta,3000000.0,142,MT,Diesel,1
212,199429,59,M,583000.0,2023-01-01,пермский край,2111,2950000.0,102,MT,Petrol,2
213,197636,50,F,294000.0,2023-02-01,нижегородская область,niva legend,750000.0,97,MT,Petrol,1
214,199757,49,M,584000.0,2021-11-01,республика башкортостан,samara,1000000.0,122,MT,Petrol,1
215,198626,56,M,240000.0,2022-07-01,самарская область,granta,2450000.0,117,AT,Petrol,1
216,200787,61,M,421000.0,2022-04-01,самарская область,2114,3200000.0,132,MT,Petrol,0
217,200229,58,M,292000.0,2023-08-01,республика башкортостан,riva,2550000.0,112,MT,Petrol,5
218,202234,42,M,1296000.0,2023-10-01,республика башкортостан,priora,1000000.0,112,MT,Petrol,1
219,198347,40,M,240000.0,2022-11-01,чувашская республика,2107,2100000.0,92,MT,Petrol,4
220,199843,50,M,1130000.0,2021-03-01,нижегородская область,vesta,2850000.0,117,MT,Petrol,3
221,198850,36,M,700000.0,2021-08-01,самарская область,2110,1900000.0,97,AT,Petrol,2
222,201025,55,M,441000.0,2021-04-01,республика татарстан,vesta,700000.0,127,MT,Petrol,3
223,198975,45,M,306000.0,2023-08-01,самарская область,oka,2750000.0,107,MT,Petrol,3
224,197716,59,M,263000.0,2023-02-01,пермский край,granta,1400000.0,137,MT,Petrol,4
225,197529,54,M,240000.0,2022-05-01,республика башкортостан,2113,1100000.0,142,AT,Petrol,1
226,198062,51,M,368000.0,2023-12-01,республика башкортостан,2113,1550000.0,127,AT,Petrol,1
227,197780,41,M,597000.0,2023-09-01,удмуртская республика,priora,1600000.0,102,AT,Petrol,4
228,199754,49,M,385000.0,2021-07-01,республика башкортостан,2110,2800000.0,132,MT,Diesel,0
229,199165,41,M,409000.0,2022-05-01,республика татарстан,2115,2400000.0,97,MT,Petrol,1
230,199060,51,M,251000.0,2022-12-01,кировская область,niva legend,2950000.0,122,MT,Petrol,4
231,200608,46,M,945000.0,2023-08-01,самарская область,riva,1900000.0,107,MT,Petrol,0
232,202029,60,M,858000.0,2022-06-01,нижегородская область,2112,2800000.0,117,MT,Petrol,0
233,202021,43,M,263000.0,2023-07-01,пензенская область,kalina,2700000.0,92,MT,Petrol,1
234,201341,54,M,548000.0,2023-02-01,оренбургская область,2114,2300000.0,117,MT,Petrol,5
235,202169,60,F,606000.0,2022-09-01,республика башкортостан,largus,2500000.0,127,AT,Petrol,2
236,198563,60,M,508000.0,2023-12-01,кировская область,2109,1250000.0,112,MT,Petrol,3
237,201728,59,F,249000.0,2023-07-01,нижегородская область,2112,950000.0,147,MT,Petrol,1
238,199615,56,M,406000.0,2023-02-01,республика мордовия,2112,1800000.0,142,MT,Petrol,0
239,201159,45,M,615000.0,2022-06-01,республика татарстан,xray,2400000.0,97,AT,Petrol,0
240,200196,54,M,241000.0,2021-01-01,республика татарстан,2110,1750000.0,102,AT,Petrol,1
241,197562,46,M,382000.0,2022-07-01,республика татарстан,2107,2650000.0,102,MT,Petrol,3
242,197501,38,M,318000.0,2023-07-01,пермский край,vesta,1850000.0,122,AT,Petrol,1
243,202113,43,M,823000.0,2022-04-01,нижегородская область,niva travel,1100000.0,117,MT,Petrol,1
244,202107,46,M,507000.0,2022-11-01,республика марий эл,vesta,1000000.0,107,MT,Diesel,2
245,200495,49,M,487000.0,2021-01-01,республика марий эл,riva,1300000.0,107,MT,Petrol,2
246,198401,50,M,240000.0,2021-10-01,оренбургская область,kalina,700000.0,92,AT,Petrol,1
247,201618,49,M,396000.0,2022-02-01,республика башкортостан,niva travel,2550000.0,147,MT,Petrol,3
248,198279,56,M,360000.0,2023-07-01,пензенская область,priora,1900000.0,107,MT,Petrol,4
249,199662,50,M,431000.0,2021-01-01,республика татарстан,granta,2550000.0,132,MT,Diesel,1
250,200306,49,M,510000.0,2021-12-01,чувашская республика,2111,1850000.0,142,AT,Petrol,2
251,201950,59,M,280000.0,2021-10-01,удмуртская республика,kalina,2950000.0,142,MT,Petrol,4
252,201832,42,M,360000.0,2023-11-01,республика татарстан,2114,2450000.0,92,MT,Petrol,3
253,198916,55,M,414000.0,2021-02-01,саратовская область,oka,1900000.0,122,MT,Petrol,2
254,201789,52,F,411000.0,2022-04-01,оренбургская область,riva,2350000.0,97,AT,Diesel,2
255,198093,35,M,397000.0,2023-01-01,саратовская область,2115,1600000.0,122,MT,Petrol,0
256,198407,48,M,240000.0,2021-04-01,республика башкортостан,largus,1000000.0,107,MT,Petrol,1
257,201140,46,M,391000.0,2023-01-01,республика татарстан,2110,1300000.0,147,MT,Petrol,1
258,199900,56,M,1026000.0,2022-06-01,республика мордовия,2113,3200000.0,127,MT,Petrol,0
259,201781,53,M,813000.0,2022-06-01,саратовская область,2113,1350000.0,87,MT,Petrol,0
260,201364,56,M,240000.0,2021-03-01,саратовская область,priora,3050000.0,102,MT,Diesel,1
261,199595,49,M,327000.0,2023-09-01,пермский край,2112,1300000.0,127,MT,Petrol,3
262,200359,53,M,240000.0,2023-11-01,республика татарстан,2109,850000.0,112,MT,Petrol,2
263,200096,58,M,318000.0,2023-12-01,нижегородская область,2112,700000.0,112,AT,Petrol,1
264,201653,59,M,501000.0,2023-06-01,нижегородская область,vesta,2950000.0,142,MT,Diesel,1
265,198077,42,M,299000.0,2021-03-01,самарская область,2110,900000.0,137,AT,Diesel,1
266,198835,56,M,269000.0,2022-10-01,республика мордовия,2112,2100000.0,127,AT,Petrol,2
267,197727,55,F,240000.0,2021-10-01,республика башкортостан,kalina,3050000.0,127,AT,Petrol,2
268,200203,48,M,251000.0,2021-02-01,саратовская область,vesta,1750000.0,142,MT,Petrol,1
269,201376,44,M,635000.0,2022-03-01,нижегородская область,2111,2900000.0,142,MT,Diesel,2
270,198403,49,M,604000.0,2021-11-01,республика марий эл,vesta,1250000.0,127,MT,Petrol,1
271,199751,45,M,564000.0,2023-07-01,республика марий эл,xray,2700000.0,147,MT,Petrol,1
272,198756,41,M,285000.0,2021-02-01,республика татарстан,largus,1900000.0,147,MT,Petrol,1
273,199110,56,M,363000.0,2021-05-01,нижегородская область,2112,2300000.0,147,MT,Petrol,1
274,199990,51,M,713000.0,2021-01-01,чувашская республика,vesta,2550000.0,97,AT,Petrol,2
275,200348,54,M,240000.0,2023-01-01,нижегородская область,samara,2200000.0,92,MT,Diesel,2
276,198217,40,M,869000.0,2021-05-01,республика башкортостан,21099,3150000.0,142,AT,Petrol,1
277,197695,47,M,377000.0,2021-08-01,ульяновская область,riva,2800000.0,117,MT,Petrol,1
278,200989,58,M,371000.0,2023-08-01,нижегородская область,2107,2150000.0,97,MT,Petrol,3
279,197963,57,M,265000.0,2023-09-01,республика татарстан,oka,1500000.0,97,MT,Petrol,1
280,198518,51,M,403000.0,2021-10-01,пензенская область,riva,2250000.0,147,MT,Petrol,3
281,198406,53,M,318000.0,2022-06-01,саратовская область,21099,1100000.0,132,MT,Petrol,1
282,200530,55,M,240000.0,2023-01-01,удмуртская республика,riva,2950000.0,102,AT,Petrol,0
283,198234,45,M,240000.0,2021-01-01,республика башкортостан,kalina,1750000.0,122,MT,Petrol,2
